litert_op_code	qnn_legalization	builder_file	source_line
kLiteRtOpCodeTflResizeNearestNeighbor	::qnn::BuildResizeNearestOp	litert/vendors/qualcomm/core/builders/resize_op_builder.h	1372
kLiteRtOpCodeTflLeakyRelu	::qnn::BuildLeakyReluOp	litert/vendors/qualcomm/core/builders/leaky_relu_op_builder.h	1374
kLiteRtOpCodeTflSquaredDifference	::qnn::BuildElementwiseSquaredDifferenceOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1375
kLiteRtOpCodeTflMirrorPad	::qnn::BuildMirrorPadOp	litert/vendors/qualcomm/core/builders/pad_op_builder.h	1376
kLiteRtOpCodeTflAbs	::qnn::BuildElementwiseAbsOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1377
kLiteRtOpCodeTflCeil	::qnn::BuildElementwiseCeilOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1378
kLiteRtOpCodeTflReverseV2	::qnn::BuildReverseOp	litert/vendors/qualcomm/core/builders/reverse_op_builder.h	1379
kLiteRtOpCodeTflGatherNd	::qnn::BuildGatherNdOp	litert/vendors/qualcomm/core/builders/gathernd_op_builder.h	1380
kLiteRtOpCodeTflCos	::qnn::BuildElementwiseCosOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1381
kLiteRtOpCodeTflElu	::qnn::BuildElementwiseEluOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1382
kLiteRtOpCodeTflQuantize	::qnn::BuildQuantizeOp	litert/vendors/qualcomm/core/builders/quantize_op_builder.h	1383
kLiteRtOpCodeTflRound	::qnn::BuildElementwiseRoundOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1384
kLiteRtOpCodeTflHardSwish	::qnn::BuildElementwiseHardSwishOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1385
kLiteRtOpCodeTflScatterNd	::qnn::BuildScatterNdOp	litert/vendors/qualcomm/core/builders/scatter_nd_op_builder.h	1386
kLiteRtOpCodeTflSelectV2	::qnn::CreateSelectOp	litert/vendors/qualcomm/core/builders/select_op_builder.h	1387
kLiteRtOpCodeTflBatchMatmul	::qnn::CreateMatmulOp	litert/vendors/qualcomm/core/builders/matmul_op_builder.h	1388
kLiteRtOpCodeTflCumsum	::qnn::BuildCumsumOp	litert/vendors/qualcomm/core/builders/cumsum_op_builder.h	1389
kLiteRtOpCodeTflBroadcastTo	::qnn::BuildBroadcastToOp	litert/vendors/qualcomm/core/builders/broadcast_to_op_builder.h	1390
kLiteRtOpCodeTflConv3d	::qnn::BuildConv3dOp	litert/vendors/qualcomm/core/builders/conv3d_op_builder.h	1391
